sim_id,pity_threshold,player_type,tier,drop_rate,tier_revenue_contribution
0,0,Whale,Common,0.5,0.12120203918147497
0,0,Whale,Rare,0.15,3.055652330147704
0,0,Whale,Epic,0.04,11.351258502927896
0,0,Whale,Legendary,0.01,4.786499349520144
0,0,Casual,Common,0.5,1.0354317175097822
0,0,Casual,Rare,0.15,2.4167693998638273
0,0,Casual,Epic,0.04,7.040478909453454
0,0,Casual,Legendary,0.01,9.357082547768167
1,0,Whale,Common,0.5,0.8523196953923384
1,0,Whale,Rare,0.15,2.3625304561550537
1,0,Whale,Epic,0.04,4.318526541836441
1,0,Whale,Legendary,0.01,41.14408104105123
1,0,Casual,Common,0.5,2.043480109666215
1,0,Casual,Rare,0.15,3.7140203547987096
1,0,Casual,Epic,0.04,8.874222273375585
1,0,Casual,Legendary,0.01,15.788747638934865
2,0,Whale,Common,0.5,0.2250954206479274
2,0,Whale,Rare,0.15,2.5125444652623354
2,0,Whale,Epic,0.04,10.186746221589459
2,0,Whale,Legendary,0.01,42.482671348626376
2,0,Casual,Common,0.5,6.335474244904745
2,0,Casual,Rare,0.15,2.1737320988087054
2,0,Casual,Epic,0.04,4.8093429473859635
2,0,Casual,Legendary,0.01,9.241622965223344
3,0,Whale,Common,0.5,0.1450826775965132
3,0,Whale,Rare,0.15,0.6924159473097574
3,0,Whale,Epic,0.04,13.376265687909708
3,0,Whale,Legendary,0.01,71.01222583941778
3,0,Casual,Common,0.5,0.3230904674956669
3,0,Casual,Rare,0.15,6.873395797298084
3,0,Casual,Epic,0.04,7.268312972462128
3,0,Casual,Legendary,0.01,34.477795405109966
4,0,Whale,Common,0.5,0.37791926698674333
4,0,Whale,Rare,0.15,2.887929099447293
4,0,Whale,Epic,0.04,8.201215050478838
4,0,Whale,Legendary,0.01,38.170614218880665
4,0,Casual,Common,0.5,0.24909152876568005
4,0,Casual,Rare,0.15,2.51039978486421
4,0,Casual,Epic,0.04,5.509894522872783
4,0,Casual,Legendary,0.01,11.728141306629768
5,0,Whale,Common,0.5,0.7387023890398388
5,0,Whale,Rare,0.15,0.30628034527032005
5,0,Whale,Epic,0.04,6.068897849897266
5,0,Whale,Legendary,0.01,33.25818882166717
5,0,Casual,Common,0.5,1.757748184408596
5,0,Casual,Rare,0.15,8.143323138542089
5,0,Casual,Epic,0.04,7.622432793173678
5,0,Casual,Legendary,0.01,17.472871537606164
6,0,Whale,Common,0.5,0.11143997519749425
6,0,Whale,Rare,0.15,0.632493074120047
6,0,Whale,Epic,0.04,10.746608270069936
6,0,Whale,Legendary,0.01,31.88954100984209
6,0,Casual,Common,0.5,0.6311072573505966
6,0,Casual,Rare,0.15,4.758176473054993
6,0,Casual,Epic,0.04,17.8193627646886
6,0,Casual,Legendary,0.01,23.77565277690378
7,0,Whale,Common,0.5,0.21917719119937204
7,0,Whale,Rare,0.15,0.48651226971404765
7,0,Whale,Epic,0.04,10.955308947084996
7,0,Whale,Legendary,0.01,22.701553427208506
7,0,Casual,Common,0.5,1.4289861245959006
7,0,Casual,Rare,0.15,6.499658167921
7,0,Casual,Epic,0.04,20.737989197734645
7,0,Casual,Legendary,0.01,32.12145539416096
8,0,Whale,Common,0.5,0.0840190344971853
8,0,Whale,Rare,0.15,0.4313230613280962
8,0,Whale,Epic,0.04,4.043495762130632
8,0,Whale,Legendary,0.01,46.421947641736885
8,0,Casual,Common,0.5,0.6596505623663966
8,0,Casual,Rare,0.15,15.14301716331322
8,0,Casual,Epic,0.04,11.898888512025264
8,0,Casual,Legendary,0.01,70.01737261935047
9,0,Whale,Common,0.5,0.22776509920048393
9,0,Whale,Rare,0.15,3.3668522934165965
9,0,Whale,Epic,0.04,2.4896540016392295
9,0,Whale,Legendary,0.01,52.81507767822566
9,0,Casual,Common,0.5,0.542756915225474
9,0,Casual,Rare,0.15,0.9441949378862144
9,0,Casual,Epic,0.04,9.639727860704719
9,0,Casual,Legendary,0.01,15.553853497942498
10,0,Whale,Common,0.5,0.24914237863246017
10,0,Whale,Rare,0.15,0.5730741590916388
10,0,Whale,Epic,0.04,8.892271619809694
10,0,Whale,Legendary,0.01,36.72869126258792
10,0,Casual,Common,0.5,1.9657570422049864
10,0,Casual,Rare,0.15,5.85263275714368
10,0,Casual,Epic,0.04,33.892882601478725
10,0,Casual,Legendary,0.01,14.17360207626552
11,0,Whale,Common,0.5,0.08951686293503411
11,0,Whale,Rare,0.15,2.7177658159815294
11,0,Whale,Epic,0.04,4.70280525196889
11,0,Whale,Legendary,0.01,5.948063916059649
11,0,Casual,Common,0.5,1.2293235661661253
11,0,Casual,Rare,0.15,10.078837254325546
11,0,Casual,Epic,0.04,95.82918892065793
11,0,Casual,Legendary,0.01,460.6861098845513
12,0,Whale,Common,0.5,0.3932261594210077
12,0,Whale,Rare,0.15,0.6984539958142116
12,0,Whale,Epic,0.04,5.106033595245774
12,0,Whale,Legendary,0.01,15.269432819498348
12,0,Casual,Common,0.5,2.4178479721471864
12,0,Casual,Rare,0.15,4.2845258969921325
12,0,Casual,Epic,0.04,8.022410396361021
12,0,Casual,Legendary,0.01,10.794437407039075
13,0,Whale,Common,0.5,0.39784508258196505
13,0,Whale,Rare,0.15,8.127247237209337
13,0,Whale,Epic,0.04,9.30799442754084
13,0,Whale,Legendary,0.01,84.21954510108179
13,0,Casual,Common,0.5,0.31913285786116746
13,0,Casual,Rare,0.15,1.8157661890230206
13,0,Casual,Epic,0.04,13.01761191360144
13,0,Casual,Legendary,0.01,321.13600378219684
14,0,Whale,Common,0.5,0.7146981681346104
14,0,Whale,Rare,0.15,2.184232858098603
14,0,Whale,Epic,0.04,6.992409632178202
14,0,Whale,Legendary,0.01,30.38427877197252
14,0,Casual,Common,0.5,1.291634429903763
14,0,Casual,Rare,0.15,1.382546343613138
14,0,Casual,Epic,0.04,1.6287155668424402
14,0,Casual,Legendary,0.01,3.584932472454166
15,0,Whale,Common,0.5,0.27773574553926617
15,0,Whale,Rare,0.15,1.9878789601484959
15,0,Whale,Epic,0.04,19.349991231464642
15,0,Whale,Legendary,0.01,35.57160932328488
15,0,Casual,Common,0.5,2.5091929540567355
15,0,Casual,Rare,0.15,6.633504468819498
15,0,Casual,Epic,0.04,45.13956422234422
15,0,Casual,Legendary,0.01,48.91914125346306
16,0,Whale,Common,0.5,1.457887498714305
16,0,Whale,Rare,0.15,1.2778079382965293
16,0,Whale,Epic,0.04,6.610885860445149
16,0,Whale,Legendary,0.01,134.60740725634105
16,0,Casual,Common,0.5,3.2836634540790137
16,0,Casual,Rare,0.15,1.6839847282114386
16,0,Casual,Epic,0.04,16.29904085386572
16,0,Casual,Legendary,0.01,19.79641192225611
17,0,Whale,Common,0.5,1.096828677485706
17,0,Whale,Rare,0.15,1.6420700941145314
17,0,Whale,Epic,0.04,9.937577068109519
17,0,Whale,Legendary,0.01,5.071749429829863
17,0,Casual,Common,0.5,0.4335424486088478
17,0,Casual,Rare,0.15,1.1355035865670815
17,0,Casual,Epic,0.04,4.646564285243945
17,0,Casual,Legendary,0.01,16.431716968488818
18,0,Whale,Common,0.5,0.19987498767901712
18,0,Whale,Rare,0.15,1.110042326555869
18,0,Whale,Epic,0.04,16.966517355755297
18,0,Whale,Legendary,0.01,58.90267277574834
18,0,Casual,Common,0.5,0.8066940695659849
18,0,Casual,Rare,0.15,2.1094075245042734
18,0,Casual,Epic,0.04,9.78429837776862
18,0,Casual,Legendary,0.01,34.20036589157943
19,0,Whale,Common,0.5,0.3794982921780284
19,0,Whale,Rare,0.15,13.812251275033459
19,0,Whale,Epic,0.04,28.810165266647154
19,0,Whale,Legendary,0.01,17.264076896448838
19,0,Casual,Common,0.5,0.24837981397572442
19,0,Casual,Rare,0.15,2.566031272482969
19,0,Casual,Epic,0.04,22.188629120390218
19,0,Casual,Legendary,0.01,120.80546024842353
20,0,Whale,Common,0.5,0.2669457010875651
20,0,Whale,Rare,0.15,0.5507249377436839
20,0,Whale,Epic,0.04,4.631257047004074
20,0,Whale,Legendary,0.01,12.36009979214159
20,0,Casual,Common,0.5,0.1905851022853378
20,0,Casual,Rare,0.15,1.0733180577516763
20,0,Casual,Epic,0.04,61.793878189504916
20,0,Casual,Legendary,0.01,15.846021709708777
21,0,Whale,Common,0.5,0.10766608516202832
21,0,Whale,Rare,0.15,1.068069497249757
21,0,Whale,Epic,0.04,11.018011059312926
21,0,Whale,Legendary,0.01,169.55539093142943
21,0,Casual,Common,0.5,0.743437005013136
21,0,Casual,Rare,0.15,8.737957986682082
21,0,Casual,Epic,0.04,16.569097139856137
21,0,Casual,Legendary,0.01,24.56623151459056
22,0,Whale,Common,0.5,0.2431542117964145
22,0,Whale,Rare,0.15,1.8893809376923167
22,0,Whale,Epic,0.04,5.708685030467364
22,0,Whale,Legendary,0.01,56.75349592989861
22,0,Casual,Common,0.5,1.0662475154832611
22,0,Casual,Rare,0.15,5.750552543521178
22,0,Casual,Epic,0.04,12.14379690471577
22,0,Casual,Legendary,0.01,29.89728299877972
23,0,Whale,Common,0.5,2.5077913039457655
23,0,Whale,Rare,0.15,11.06951681806637
23,0,Whale,Epic,0.04,25.06910105959842
23,0,Whale,Legendary,0.01,50.892456220329116
23,0,Casual,Common,0.5,0.34066055829626724
23,0,Casual,Rare,0.15,13.899724706070968
23,0,Casual,Epic,0.04,20.69814232282005
23,0,Casual,Legendary,0.01,70.54094731881165
24,0,Whale,Common,0.5,0.11375613421454248
24,0,Whale,Rare,0.15,0.9677529513420797
24,0,Whale,Epic,0.04,8.919575554054372
24,0,Whale,Legendary,0.01,28.395164900602197
24,0,Casual,Common,0.5,0.8446458665996627
24,0,Casual,Rare,0.15,3.559665848720788
24,0,Casual,Epic,0.04,21.325772177357685
24,0,Casual,Legendary,0.01,163.60361865423195
25,0,Whale,Common,0.5,0.40336392341696464
25,0,Whale,Rare,0.15,1.0642274894054902
25,0,Whale,Epic,0.04,2.284985094743315
25,0,Whale,Legendary,0.01,39.076092301869906
25,0,Casual,Common,0.5,0.23312361091775163
25,0,Casual,Rare,0.15,9.592959689815725
25,0,Casual,Epic,0.04,10.081215549998605
25,0,Casual,Legendary,0.01,31.844363648836083
26,0,Whale,Common,0.5,0.5220870400116384
26,0,Whale,Rare,0.15,7.8561237754008735
26,0,Whale,Epic,0.04,17.95715677689015
26,0,Whale,Legendary,0.01,43.05051004687617
26,0,Casual,Common,0.5,1.3761957885205152
26,0,Casual,Rare,0.15,8.915091485192006
26,0,Casual,Epic,0.04,9.132248925611718
26,0,Casual,Legendary,0.01,29.71586028410417
27,0,Whale,Common,0.5,0.6248801727073258
27,0,Whale,Rare,0.15,1.2643649306380944
27,0,Whale,Epic,0.04,19.206204002625217
27,0,Whale,Legendary,0.01,70.22869993679979
27,0,Casual,Common,0.5,1.7669047488790202
27,0,Casual,Rare,0.15,0.6543281268229939
27,0,Casual,Epic,0.04,5.661357028212291
27,0,Casual,Legendary,0.01,6.159647654694459
28,0,Whale,Common,0.5,0.16474638034676434
28,0,Whale,Rare,0.15,0.5705715483845337
28,0,Whale,Epic,0.04,5.886842736512069
28,0,Whale,Legendary,0.01,7.571137498044347
28,0,Casual,Common,0.5,1.2269596489323826
28,0,Casual,Rare,0.15,11.259375229985409
28,0,Casual,Epic,0.04,14.257015338579869
28,0,Casual,Legendary,0.01,4.867398352408485
29,0,Whale,Common,0.5,1.3234977385769573
29,0,Whale,Rare,0.15,0.21343122964844086
29,0,Whale,Epic,0.04,5.278101635475359
29,0,Whale,Legendary,0.01,49.67946089613267
29,0,Casual,Common,0.5,3.499598904119217
29,0,Casual,Rare,0.15,6.0469278020399155
29,0,Casual,Epic,0.04,23.72348954232448
29,0,Casual,Legendary,0.01,23.64392496175826
30,0,Whale,Common,0.5,0.38161238822088844
30,0,Whale,Rare,0.15,1.955950690112684
30,0,Whale,Epic,0.04,3.8138736026243145
30,0,Whale,Legendary,0.01,21.7675800232729
30,0,Casual,Common,0.5,1.3090797011216722
30,0,Casual,Rare,0.15,10.717303052350928
30,0,Casual,Epic,0.04,5.6948529792500855
30,0,Casual,Legendary,0.01,28.23551787544166
31,0,Whale,Common,0.5,0.37074710487680307
31,0,Whale,Rare,0.15,3.3799239694938232
31,0,Whale,Epic,0.04,8.463670442529823
31,0,Whale,Legendary,0.01,99.27242943326661
31,0,Casual,Common,0.5,1.9777099795171589
31,0,Casual,Rare,0.15,7.53437162506088
31,0,Casual,Epic,0.04,82.79136706818475
31,0,Casual,Legendary,0.01,40.76981507677522
32,0,Whale,Common,0.5,0.34054138466814576
32,0,Whale,Rare,0.15,5.098001321857138
32,0,Whale,Epic,0.04,1.659125760193842
32,0,Whale,Legendary,0.01,6.161567172223704
32,0,Casual,Common,0.5,0.453653298447422
32,0,Casual,Rare,0.15,6.633688740738176
32,0,Casual,Epic,0.04,21.04217686671047
32,0,Casual,Legendary,0.01,48.151327412496265
33,0,Whale,Common,0.5,0.20211688511482195
33,0,Whale,Rare,0.15,2.3439027689984426
33,0,Whale,Epic,0.04,12.41458140177547
33,0,Whale,Legendary,0.01,31.874907682888967
33,0,Casual,Common,0.5,1.1394694913068406
33,0,Casual,Rare,0.15,6.872684486403709
33,0,Casual,Epic,0.04,7.340310177398257
33,0,Casual,Legendary,0.01,27.434824997428798
34,0,Whale,Common,0.5,0.49398004896893505
34,0,Whale,Rare,0.15,1.1771765151398308
34,0,Whale,Epic,0.04,7.478536776029839
34,0,Whale,Legendary,0.01,61.71954309679924
34,0,Casual,Common,0.5,0.27713901732739843
34,0,Casual,Rare,0.15,0.5895597959634628
34,0,Casual,Epic,0.04,0.882703605830398
34,0,Casual,Legendary,0.01,6.377733789917915
35,0,Whale,Common,0.5,0.823645605145147
35,0,Whale,Rare,0.15,5.349431343342208
35,0,Whale,Epic,0.04,8.058164666964117
35,0,Whale,Legendary,0.01,105.00032428691262
35,0,Casual,Common,0.5,0.42374093946567043
35,0,Casual,Rare,0.15,1.4591427674518627
35,0,Casual,Epic,0.04,1.748952529214562
35,0,Casual,Legendary,0.01,6.084371736664396
36,0,Whale,Common,0.5,0.08907522484158693
36,0,Whale,Rare,0.15,2.2005337295478458
36,0,Whale,Epic,0.04,3.7298173137596144
36,0,Whale,Legendary,0.01,41.77803480334022
36,0,Casual,Common,0.5,0.1782151678432626
36,0,Casual,Rare,0.15,8.690778676215672
36,0,Casual,Epic,0.04,5.5748824896656295
36,0,Casual,Legendary,0.01,14.22181160391665
37,0,Whale,Common,0.5,0.26063597257346044
37,0,Whale,Rare,0.15,2.0707630209202628
37,0,Whale,Epic,0.04,10.87914468182379
37,0,Whale,Legendary,0.01,101.78808888760149
37,0,Casual,Common,0.5,0.24539885164448172
37,0,Casual,Rare,0.15,12.45849063808984
37,0,Casual,Epic,0.04,15.06801172226685
37,0,Casual,Legendary,0.01,126.90652219225177
38,0,Whale,Common,0.5,1.788899497010398
38,0,Whale,Rare,0.15,10.89986733252691
38,0,Whale,Epic,0.04,8.32605552327645
38,0,Whale,Legendary,0.01,36.47595976237806
38,0,Casual,Common,0.5,0.43309671718995074
38,0,Casual,Rare,0.15,6.000438488180887
38,0,Casual,Epic,0.04,14.38223257429139
38,0,Casual,Legendary,0.01,49.69227195148077
39,0,Whale,Common,0.5,0.11304646148821287
39,0,Whale,Rare,0.15,0.9801474983998424
39,0,Whale,Epic,0.04,7.033226217350687
39,0,Whale,Legendary,0.01,182.7481212471507
39,0,Casual,Common,0.5,0.38998136954391766
39,0,Casual,Rare,0.15,5.641517786385909
39,0,Casual,Epic,0.04,8.421386430735959
39,0,Casual,Legendary,0.01,23.382026010419693
40,0,Whale,Common,0.5,0.8050553066501749
40,0,Whale,Rare,0.15,0.5121426922569144
40,0,Whale,Epic,0.04,8.697995967213005
40,0,Whale,Legendary,0.01,245.91633339508132
40,0,Casual,Common,0.5,3.3675480630641377
40,0,Casual,Rare,0.15,4.627582316723362
40,0,Casual,Epic,0.04,19.371648828700078
40,0,Casual,Legendary,0.01,32.64512226988401
41,0,Whale,Common,0.5,0.14360423233197647
41,0,Whale,Rare,0.15,2.8518940309912892
41,0,Whale,Epic,0.04,17.56008669942538
41,0,Whale,Legendary,0.01,47.26968808622858
41,0,Casual,Common,0.5,1.3942283769283688
41,0,Casual,Rare,0.15,2.8125122547137646
41,0,Casual,Epic,0.04,18.06475770158589
41,0,Casual,Legendary,0.01,6.686973216442132
42,0,Whale,Common,0.5,1.054602947289651
42,0,Whale,Rare,0.15,3.4085328811635365
42,0,Whale,Epic,0.04,2.9363387834733783
42,0,Whale,Legendary,0.01,4.872936623049455
42,0,Casual,Common,0.5,0.5684420147957133
42,0,Casual,Rare,0.15,38.55673662668679
42,0,Casual,Epic,0.04,17.305694539314686
42,0,Casual,Legendary,0.01,22.985175595980994
43,0,Whale,Common,0.5,0.3379758101184584
43,0,Whale,Rare,0.15,1.396364673183726
43,0,Whale,Epic,0.04,14.149083057007472
43,0,Whale,Legendary,0.01,44.88451953867339
43,0,Casual,Common,0.5,0.49895731100889185
43,0,Casual,Rare,0.15,10.223843577916952
43,0,Casual,Epic,0.04,45.005885516756635
43,0,Casual,Legendary,0.01,20.513650526178047
44,0,Whale,Common,0.5,1.0932212064457016
44,0,Whale,Rare,0.15,0.9952805762797216
44,0,Whale,Epic,0.04,22.77674703446038
44,0,Whale,Legendary,0.01,40.58748297194159
44,0,Casual,Common,0.5,3.78556688508735
44,0,Casual,Rare,0.15,2.5390502802305135
44,0,Casual,Epic,0.04,4.363760680242921
44,0,Casual,Legendary,0.01,14.890128566317571
45,0,Whale,Common,0.5,0.19029022628190176
45,0,Whale,Rare,0.15,4.485190798172344
45,0,Whale,Epic,0.04,1.1939276871217595
45,0,Whale,Legendary,0.01,11.985383947785529
45,0,Casual,Common,0.5,0.4407171067493661
45,0,Casual,Rare,0.15,5.195692493848264
45,0,Casual,Epic,0.04,10.242226601293646
45,0,Casual,Legendary,0.01,24.985260714093666
46,0,Whale,Common,0.5,0.5838296682438683
46,0,Whale,Rare,0.15,2.8440072748812364
46,0,Whale,Epic,0.04,10.820861702711923
46,0,Whale,Legendary,0.01,55.01339281784796
46,0,Casual,Common,0.5,5.769597230310925
46,0,Casual,Rare,0.15,3.0921445453226486
46,0,Casual,Epic,0.04,6.040370775233954
46,0,Casual,Legendary,0.01,10.586711344698328
47,0,Whale,Common,0.5,0.19462033558820313
47,0,Whale,Rare,0.15,0.6513437155773757
47,0,Whale,Epic,0.04,7.611019327333205
47,0,Whale,Legendary,0.01,42.06490102347331
47,0,Casual,Common,0.5,0.4654765163272163
47,0,Casual,Rare,0.15,9.920509510723184
47,0,Casual,Epic,0.04,21.218854581034556
47,0,Casual,Legendary,0.01,29.684431253558984
48,0,Whale,Common,0.5,0.08394233424676456
48,0,Whale,Rare,0.15,1.4177387533160661
48,0,Whale,Epic,0.04,8.26531935500574
48,0,Whale,Legendary,0.01,12.778894607623567
48,0,Casual,Common,0.5,0.25031319175554484
48,0,Casual,Rare,0.15,15.313948897080287
48,0,Casual,Epic,0.04,32.64270282830962
48,0,Casual,Legendary,0.01,30.799104163216654
49,0,Whale,Common,0.5,0.23723318760968654
49,0,Whale,Rare,0.15,0.5472568096357716
49,0,Whale,Epic,0.04,14.168767470536455
49,0,Whale,Legendary,0.01,180.89735300826936
49,0,Casual,Common,0.5,0.4362993128456042
49,0,Casual,Rare,0.15,5.292204211549526
49,0,Casual,Epic,0.04,39.48873447787288
49,0,Casual,Legendary,0.01,14.77432689847397
50,0,Whale,Common,0.5,0.21101352317458746
50,0,Whale,Rare,0.15,0.3144140770744091
50,0,Whale,Epic,0.04,2.6942149772385453
50,0,Whale,Legendary,0.01,16.266374474877406
50,0,Casual,Common,0.5,1.926374366008011
50,0,Casual,Rare,0.15,5.427246847373096
50,0,Casual,Epic,0.04,3.9741632209470947
50,0,Casual,Legendary,0.01,52.238495420344044
51,0,Whale,Common,0.5,0.1742499642923888
51,0,Whale,Rare,0.15,2.533839863151316
51,0,Whale,Epic,0.04,13.80262243475935
51,0,Whale,Legendary,0.01,47.21416963798471
51,0,Casual,Common,0.5,1.4973860798141136
51,0,Casual,Rare,0.15,1.2151492777517023
51,0,Casual,Epic,0.04,8.322237261980302
51,0,Casual,Legendary,0.01,6.317774708711142
52,0,Whale,Common,0.5,0.5875038048542812
52,0,Whale,Rare,0.15,1.9064658136470958
52,0,Whale,Epic,0.04,5.529830042744311
52,0,Whale,Legendary,0.01,115.46206891736898
52,0,Casual,Common,0.5,0.954266112209324
52,0,Casual,Rare,0.15,5.464006947892663
52,0,Casual,Epic,0.04,8.28974000846809
