case,item_name,real_rarity,model_tier,price_usd
CS:GO Weapon Case 3,CZ75-Auto | Crimson Web,Mil-Spec Grade,Common,3.0
CS:GO Weapon Case 3,P2000 | Red FragCam,Mil-Spec Grade,Common,3.71
CS:GO Weapon Case 3,Dual Berettas | Panther,Mil-Spec Grade,Common,4.07
CS:GO Weapon Case 3,USP-S | Stainless,Mil-Spec Grade,Common,8.55
CS:GO Weapon Case 3,Glock-18 | Blue Fissure,Mil-Spec Grade,Common,3.46
CS:GO Weapon Case 3,CZ75-Auto | Tread Plate,Restricted,Rare,6.3
CS:GO Weapon Case 3,Tec-9 | Titanium Bit,Restricted,Rare,15.0
CS:GO Weapon Case 3,Desert Eagle | Heirloom,Restricted,Rare,8.4
CS:GO Weapon Case 3,Five-SeveN | Copper Galaxy,Restricted,Rare,
CS:GO Weapon Case 3,CZ75-Auto | The Fuschia Is Now,Classified,Epic,24.09
CS:GO Weapon Case 3,P250 | Undertow,Classified,Epic,
CS:GO Weapon Case 3,CZ75-Auto | Victoria,Covert,Legendary,110.49
CS:GO Weapon Case 3,CS:GO Weapon Case 3,Case (container),,18.56
Operation Bravo Case,SG 553 | Wave Spray,Mil-Spec Grade,Common,8.97
Operation Bravo Case,Dual Berettas | Black Limba,Mil-Spec Grade,Common,7.76
Operation Bravo Case,Nova | Tempest,Mil-Spec Grade,Common,8.02
Operation Bravo Case,Galil AR | Shattered,Mil-Spec Grade,Common,8.14
Operation Bravo Case,UMP-45 | Bone Pile,Mil-Spec Grade,Common,7.17
Operation Bravo Case,G3SG1 | Demeter,Mil-Spec Grade,Common,7.21
Operation Bravo Case,USP-S | Overgrowth,Restricted,Rare,30.67
Operation Bravo Case,M4A4 | Zirka,Restricted,Rare,33.43
Operation Bravo Case,MAC-10 | Graven,Restricted,Rare,
Operation Bravo Case,M4A1-S | Bright Water,Restricted,Rare,53.56
Operation Bravo Case,P90 | Emerald Dragon,Classified,Epic,154.14
Operation Bravo Case,P2000 | Ocean Foam,Classified,Epic,
Operation Bravo Case,AWP | Graphite,Classified,Epic,
Operation Bravo Case,AK-47 | Fire Serpent,Covert,Legendary,1053.75
Operation Bravo Case,Desert Eagle | Golden Koi,Covert,Legendary,
Operation Bravo Case,Operation Bravo Case,Case (container),,91.17
Chroma Case,Glock-18 | Catacombs,Mil-Spec Grade,Common,1.12
Chroma Case,M249 | System Lock,Mil-Spec Grade,Common,0.72
Chroma Case,MP9 | Deadly Poison,Mil-Spec Grade,Common,0.97
Chroma Case,SCAR-20 | Grotto,Mil-Spec Grade,Common,0.85
Chroma Case,XM1014 | Quicksilver,Mil-Spec Grade,Common,0.78
Chroma Case,Dual Berettas | Urban Shock,Restricted,Rare,2.32
Chroma Case,Desert Eagle | Naga,Restricted,Rare,3.01
Chroma Case,MAC-10 | Malachite,Restricted,Rare,2.79
Chroma Case,Sawed-Off | Serenity,Restricted,Rare,
Chroma Case,AK-47 | Cartel,Classified,Epic,22.22
Chroma Case,M4A4 | 龍王 (Dragon King),Classified,Epic,20.18
Chroma Case,P250 | Muertos,Classified,Epic,15.69
Chroma Case,AWP | Man-o'-war,Covert,Legendary,173.08
Chroma Case,Galil AR | Chatterbox,Covert,Legendary,308.02
Chroma Case,Chroma Case,Case (container),,7.31
Spectrum Case,PP-Bizon | Jungle Slipstream,Mil-Spec Grade,Common,0.73
Spectrum Case,SCAR-20 | Blueprint,Mil-Spec Grade,Common,0.71
Spectrum Case,Desert Eagle | Oxide Blaze,Mil-Spec Grade,Common,0.66
Spectrum Case,Five-SeveN | Capillary,Mil-Spec Grade,Common,0.6
Spectrum Case,MP7 | Akoben,Mil-Spec Grade,Common,0.58
Spectrum Case,P250 | Ripple,Mil-Spec Grade,Common,0.63
Spectrum Case,Sawed-Off | Zander,Mil-Spec Grade,Common,0.66
Spectrum Case,Galil AR | Crimson Tsunami,Restricted,Rare,2.53
Spectrum Case,M249 | Emerald Poison Dart,Restricted,Rare,1.75
Spectrum Case,MAC-10 | Last Dive,Restricted,Rare,1.85
Spectrum Case,UMP-45 | Scaffold,Restricted,Rare,1.97
Spectrum Case,XM1014 | Seasons,Restricted,Rare,2.16
Spectrum Case,AWP | Fever Dream,Classified,Epic,18.42
Spectrum Case,CZ75-Auto | Xiangliu,Classified,Epic,16.3
Spectrum Case,M4A1-S | Decimator,Classified,Epic,17.75
Spectrum Case,AK-47 | Bloodsport,Covert,Legendary,185.0
Spectrum Case,USP-S | Neo-Noir,Covert,Legendary,135.76
Spectrum Case,Spectrum Case,Case (container),,6.0
